coef,term
10.691819476697582,nation news
6.843704004106389,comment new
6.216515385836091,report abus
4.878485739955505,local news
4.782491689912015,gordon brown
4.515675253695646,comment articl
4.303607865178604,prime minist
4.194313228152254,polic offic
3.871935869249516,barack obama
3.7051768954717663,comment post
3.4137879855326285,person use
3.3574510736092353,kill peopl
3.336419759786802,polic said
3.283011799057327,gener elect
3.280818788907938,quot http
3.2470252011577445,polic station
3.213062390935287,peopl kill
3.1571999167197493,comment http
3.1270786448773524,foreign minist
3.119908710704332,offici said
3.1052421115613233,higher educ
3.084679973584181,press associ
3.075644663746497,liber democrat
3.0483971750686703,anyon inform
3.0180226092588898,consid action
3.0097760685944843,news stori
2.953428957548085,unit kingdom
2.9500026215866435,local govern
2.859407784822671,media group
2.8111373312419135,hillari clinton
2.7942306442964933,add comment
2.7612430412534166,shot dead
2.7338665785262375,scottish govern
2.6581526285145975,crown court
2.6506189579842556,spokeswoman said
2.636185640863592,war crime
2.6088422943740994,end quot
2.58764679570601,report said
2.550692574477927,report problem
2.5151275858088793,appear press
2.475031951504591,view express
2.4684347703881317,presidenti elect
2.465490176081774,polic investig
2.46459627226473,mr brown
2.4601568353322594,media report
2.446634556621633,news agenc
2.435389702885156,ministri defenc
2.4309339876267475,said mr
2.422743133528272,nation award
2.4213476729095853,billion euro
2.411241261313217,told bbc
2.3954488215190324,tori leader
2.391891291236742,sinn fein
2.3586113567773697,polic warn
2.346768816285728,spokesman said
2.34161021534788,comment say
2.3237129186507266,offici say
2.313970906480799,antisoci behaviour
2.301428866280172,council elect
2.2992047748069115,lib dem
2.28684125039055,opposit leader
2.28552491481029,mp expens
2.2686440312026863,gener secretari
2.267332222267764,stab death
2.2558038234341047,death toll
2.2436176533244927,alistair darl
2.2236464940877854,labour parti
2.2200411832139224,share view
2.218702447460937,play video
2.1910586304170705,helmand provinc
2.186189286401138,secondari school
2.178351617024925,northern rock
2.1539941890386096,mr obama
2.145423929599724,peopl die
2.142073219824945,local elect
2.135674695699548,local newspap
2.120650902753068,print page
2.1206162470834564,govern said
2.114042058287128,debat issu
2.1136199976232097,polit parti
2.1043018788412042,said http
2.091151436848011,parti leader
2.0877180528664927,site http
2.0717590345899404,went miss
2.055997972605295,oil ga
2.053083769070877,secur forc
2.0463171693269797,vladimir putin
2.0380335935549865,campaign launch
2.035637636013314,west bank
2.0356165397613,inform http
2.0338816334468066,poll station
2.0213577680523613,european elect
2.0084490023136468,polic chief
2.0057874864173817,busi award
2.001085177630384,award ceremoni
1.9996893240301206,defenc minist
1.9868319373486436,minist alex salmond
1.9849666065521412,nuclear power
1.9720354989590616,al qaida
1.9621883521917438,industri action
